skill_id,skill_name,skill_category,skill_complexity,skill_impact_score,skill_wg_credits,skill_experience_points
129c0895-b734-4e42-8030-eb04ae7f99b6,Office Administration,Administrative and Operational Support,1.0,7.2,21.482758620689655,13.422053231939165
a5190203-06ba-48d4-839e-95dc2cb5aef1,Office Administration,Administrative and Operational Support,5.0,3.4,77.8103448275862,82.30798479087451
b36c2b2b-9ea0-4620-8c94-3e3e17e6ffd7,Office Administration,Administrative and Operational Support,4.0,9.4,81.22413793103448,74.40304182509506
013e2291-12db-43d5-bafb-ae99ddb0bcaf,Office Administration,Administrative and Operational Support,3.0,6.699999999999999,53.913793103448285,54.07604562737643
04a784be-b0a6-4347-8fb5-0bd76fc8b85e,Office Administration,Administrative and Operational Support,3.0,2.6000000000000005,40.258620689655174,48.80608365019011
66d0c42a-9e02-4c14-a799-acfe300a84b5,Office Administration,Administrative and Operational Support,1.0,2.6000000000000005,6.1206896551724155,9.657794676806086
5de61abb-3e5c-40b6-98a9-d5f4fc4daa39,Office Administration,Administrative and Operational Support,5.0,5.8,86.34482758620689,89.46007604562737
9b4c5c9c-3574-4368-9d5f-a2244b546970,Office Administration,Administrative and Operational Support,2.0,8.0,41.96551724137932,39.39543726235742
8cc04a70-f867-4992-b2ec-5602f54a8872,Office Administration,Administrative and Operational Support,4.0,6.499999999999999,70.98275862068965,69.50950570342205
b0242404-de4d-44e8-b4aa-85a32704f29c,Office Administration,Administrative and Operational Support,5.0,2.4,74.39655172413794,80.8022813688213
5933c2e7-1994-4956-91df-2368a33688d4,Time Management,Administrative and Operational Support,2.0,5.8999999999999995,35.13793103448276,29.231939163498097
6e0dcd47-887c-457d-ae80-dc080dbcabd7,Time Management,Administrative and Operational Support,1.0,3.8,11.24137931034483,11.163498098859314
45b10d47-d9a7-4be2-be04-01b886e63ae7,Time Management,Administrative and Operational Support,3.0,4.9,48.79310344827587,46.547528517110266
4b5819ed-9bb8-4ed8-b0fe-c97351ac4113,Time Management,Administrative and Operational Support,3.0,2.6000000000000005,40.258620689655174,48.053231939163496
85b6d21d-fd5f-4d31-8dfc-74512b79ce68,Time Management,Administrative and Operational Support,2.0,5.3,33.43103448275862,31.11406844106464
34210e27-6437-411d-9559-248f9cee1dc5,Time Management,Administrative and Operational Support,2.0,1.8,21.482758620689655,27.34980988593156
e43d1265-a7f5-4237-b4b5-2df0ff0ba7a2,Time Management,Administrative and Operational Support,2.0,8.6,43.672413793103445,40.52471482889734
4f7d2360-9d17-4704-b7c8-529f193bc32a,Time Management,Administrative and Operational Support,1.0,2.6000000000000005,6.1206896551724155,8.904942965779469
d53478ca-0aba-465a-9441-9ac62922570a,Time Management,Administrative and Operational Support,4.0,6.6,70.98275862068965,72.1444866920152
445653fc-9d1b-49b8-af76-602b62b6b152,Time Management,Administrative and Operational Support,1.0,8.7,26.603448275862064,18.69201520912548
b07c17b5-8cfa-4c26-820c-b4c1d49bea2e,Event Planning,Administrative and Operational Support,3.0,9.7,64.15517241379311,61.60456273764259
6b3eb13f-905e-4e07-83dd-f8498a8ffc32,Event Planning,Administrative and Operational Support,4.0,9.4,81.22413793103448,78.54372623574145
01d79b12-f532-425f-949a-fd67fe85767a,Event Planning,Administrative and Operational Support,4.0,3.7,60.741379310344826,62.35741444866921
88785de3-ad41-4690-9ae2-64f346293aa4,Event Planning,Administrative and Operational Support,5.0,7.2,89.75862068965517,88.33079847908745
7ba106d0-3905-4700-82fe-492c708c52e4,Event Planning,Administrative and Operational Support,5.0,4.300000000000001,81.22413793103448,86.4486692015209
0f0ea86e-5d29-4f72-b17a-19fbbe6891d5,Event Planning,Administrative and Operational Support,3.0,9.3,64.15517241379311,56.71102661596957
b1db592a-f1b2-4c6b-89d5-f05fb27a1c5a,Event Planning,Administrative and Operational Support,1.0,9.4,30.01724137931035,23.961977186311785
a08e0664-9969-4211-94e9-ab786d3f7759,Event Planning,Administrative and Operational Support,5.0,7.2,89.75862068965517,89.83650190114068
